iter	RMSE
0	14.64276947
1	14.29736596
2	13.93115088
3	13.57651602
4	13.27588781
5	12.94297877
6	12.67280542
7	12.38129651
8	12.12564371
9	11.8742731
10	11.64510824
11	11.36226213
12	11.10615052
13	10.86857399
14	10.66379792
15	10.44091862
16	10.22386192
17	10.04144369
18	9.867570533
19	9.687711291
20	9.504954972
21	9.331400274
22	9.157983923
23	9.008687013
24	8.858807079
25	8.70518862
26	8.586473832
27	8.449041826
28	8.326586764
29	8.198005449
30	8.062183037
31	7.936075391
32	7.843053585
33	7.735106291
34	7.631332976
35	7.552776498
36	7.45914058
37	7.378285199
38	7.299303685
39	7.20079819
40	7.129536359
41	7.052094712
42	6.964041748
43	6.883739714
44	6.827085716
45	6.769645607
46	6.708795192
47	6.65229877
48	6.588156035
49	6.532875372
50	6.492345524
51	6.439835852
52	6.395438651
53	6.347361763
54	6.303803855
55	6.262250588
56	6.209550737
57	6.169363105
58	6.131512061
59	6.092805632
60	6.060632823
61	6.027143135
62	5.999790791
63	5.97332479
64	5.93780914
65	5.909286186
66	5.877571075
67	5.852193853
68	5.824811741
69	5.797915252
70	5.774977102
71	5.75090491
72	5.730560542
73	5.70449268
74	5.678673822
75	5.654930017
76	5.635312016
77	5.611382674
78	5.594476148
79	5.574799996
80	5.550283484
81	5.533538517
82	5.515808045
83	5.49890917
84	5.48142264
85	5.467242322
86	5.451931054
87	5.435422984
88	5.418946832
89	5.404012229
90	5.388724216
91	5.378366488
92	5.365484266
93	5.348987856
94	5.339450344
95	5.326885685
96	5.315402133
97	5.306601004
98	5.297371213
99	5.288504859
100	5.276939756
101	5.265112656
102	5.253347404
103	5.245431132
104	5.232433094
105	5.221185054
106	5.209953723
107	5.196351739
108	5.183816752
109	5.174886404
110	5.164191579
111	5.153990729
112	5.144038097
113	5.130689725
114	5.124841079
115	5.118145309
116	5.109320686
117	5.098057756
118	5.089730763
119	5.084478424
120	5.074838564
121	5.064141062
122	5.057134525
123	5.049640782
124	5.039673757
125	5.034821311
126	5.031591044
127	5.021166012
128	5.014245278
129	5.005402307
130	4.998595433
131	4.990258135
132	4.986205854
133	4.9779436
134	4.973739528
135	4.962041081
136	4.955534371
137	4.949711343
138	4.94138295
139	4.936658736
140	4.928680036
141	4.918441382
142	4.911585213
143	4.90292808
144	4.896253993
145	4.887828121
146	4.881125125
147	4.874737446
148	4.869493477
149	4.860616297
150	4.85446586
151	4.849225787
152	4.843141876
153	4.838614978
154	4.828375799
155	4.823187119
156	4.812984297
157	4.810014417
158	4.803073786
159	4.797749447
160	4.791532976
161	4.785108071
162	4.778672639
163	4.774651409
164	4.768394135
165	4.763841724
166	4.755841973
167	4.747496714
168	4.740701586
169	4.731654304
170	4.72634479
171	4.72044073
172	4.710515253
173	4.706204092
174	4.70241006
175	4.696560404
176	4.686911836
177	4.682436311
178	4.676381853
179	4.672602506
180	4.667156266
181	4.656627138
182	4.653129659
183	4.647295539
184	4.643455424
185	4.638938225
186	4.634844608
187	4.628395813
188	4.622113113
189	4.615666298
190	4.60472055
191	4.597203825
192	4.593260208
193	4.591203383
194	4.584157059
195	4.579477761
196	4.569357839
197	4.559616605
198	4.555651446
199	4.550755722
200	4.546444394
201	4.540374803
202	4.536743952
203	4.531068819
204	4.527328001
205	4.523702839
206	4.520690657
207	4.517871654
208	4.509876433
209	4.505750422
210	4.501269284
211	4.496286501
212	4.491123301
213	4.485420838
214	4.478785505
215	4.477213549
216	4.471934972
217	4.464962526
218	4.457116646
219	4.455199242
220	4.451149714
221	4.443962016
222	4.438720585
223	4.43807357
224	4.434123216
225	4.430868232
226	4.424068512
227	4.419692166
228	4.41129581
229	4.407596657
230	4.403730961
231	4.400368141
232	4.397185783
233	4.392245103
234	4.386597826
235	4.381783067
236	4.372839937
237	4.371580238
238	4.369710931
239	4.365250159
240	4.3621922
241	4.359108354
242	4.349071323
243	4.34236261
244	4.336709135
245	4.331820032
246	4.326006885
247	4.322572489
248	4.31862419
249	4.313480911
250	4.310399074
251	4.30826955
252	4.306902266
253	4.301464365
254	4.295952984
255	4.29106501
256	4.286390956
257	4.282633041
258	4.281895162
259	4.27717325
260	4.271542898
261	4.263178319
262	4.254783426
263	4.246737031
264	4.240061477
265	4.237359646
266	4.231985221
267	4.226820516
268	4.222977088
269	4.217730975
270	4.212347359
271	4.204365722
272	4.1986185
273	4.192065319
274	4.189616532
275	4.18569703
276	4.176393977
277	4.169955987
278	4.166558272
279	4.162364649
280	4.157063445
281	4.155272589
282	4.151241085
283	4.146277445
284	4.1447741
285	4.137997831
286	4.131335246
287	4.124725289
288	4.117537731
289	4.11352588
290	4.10773423
291	4.10331187
292	4.100752749
293	4.091568499
294	4.090744892
295	4.087331206
296	4.08586471
297	4.084236499
298	4.079693074
299	4.078345034
300	4.07161866
301	4.070344642
302	4.065229335
303	4.063207439
304	4.059222856
305	4.054759082
306	4.049287822
307	4.045954485
308	4.038847239
309	4.035874011
310	4.024421315
311	4.019715901
312	4.01416719
313	4.011250067
314	4.005841251
315	4.001209384
316	3.99426444
317	3.988312043
318	3.984682094
319	3.979057338
320	3.973652978
321	3.967863839
322	3.964108484
323	3.961487315
324	3.959987407
325	3.957394858
326	3.951037387
327	3.946444445
328	3.941323135
329	3.939200701
330	3.933278674
331	3.926740058
332	3.924715171
333	3.917992206
334	3.914643262
335	3.914052617
336	3.912861376
337	3.910947202
338	3.910007547
339	3.907214054
340	3.904835075
341	3.902758444
342	3.895967788
343	3.890552801
344	3.887000038
345	3.885230737
346	3.883493
347	3.877507992
348	3.873235801
349	3.865282904
350	3.862924702
351	3.858061656
352	3.850899178
353	3.847681016
354	3.842262526
355	3.836853306
356	3.829760897
357	3.82630173
358	3.823751554
359	3.821270155
360	3.816763328
361	3.814106104
362	3.810074009
363	3.806223466
364	3.801316134
365	3.797849267
366	3.789471494
367	3.784232923
368	3.781386374
369	3.779487575
370	3.777142062
371	3.771776815
372	3.768774145
373	3.766438404
374	3.76049907
375	3.758456199
376	3.756621542
377	3.753288917
378	3.749275046
379	3.745548001
380	3.740986721
381	3.738177875
382	3.734388417
383	3.732235626
384	3.727341336
385	3.72501754
386	3.720267215
387	3.715063616
388	3.710596592
389	3.704240093
390	3.70134896
391	3.70051105
392	3.696651348
393	3.693860687
394	3.691720681
395	3.688092706
396	3.683653511
397	3.682116742
398	3.681608108
399	3.675281061
400	3.67050118
401	3.668093516
402	3.66580865
403	3.661254547
404	3.659076442
405	3.65452936
406	3.650204102
407	3.644113011
408	3.642343486
409	3.641423391
410	3.638234396
411	3.632354155
412	3.627530247
413	3.622842955
414	3.617541449
415	3.615535647
416	3.612109141
417	3.611491934
418	3.608079157
419	3.605323207
420	3.604292057
421	3.600412475
422	3.597134586
423	3.593833761
424	3.59119147
425	3.588751999
426	3.586254394
427	3.582990281
428	3.577007161
429	3.574624434
430	3.567411812
431	3.56137282
432	3.558707871
433	3.5571237
434	3.552735151
435	3.547945317
436	3.547030681
437	3.541296063
438	3.536598205
439	3.531629495
440	3.530093703
441	3.529186848
442	3.528769459
443	3.527972749
444	3.525868612
445	3.524444945
446	3.517616678
447	3.512032715
448	3.509415656
449	3.506750925
450	3.501573816
451	3.496023321
452	3.491148649
453	3.488872239
454	3.483863244
455	3.482313628
456	3.47711879
457	3.475434027
458	3.471712175
459	3.46714824
460	3.464364505
461	3.462442133
462	3.456619996
463	3.452887266
464	3.446245028
465	3.445514725
466	3.441222412
467	3.439071183
468	3.436109803
469	3.431854539
470	3.425188297
471	3.423835928
472	3.422085193
473	3.419559053
474	3.415217985
475	3.410386722
476	3.40535162
477	3.400847755
478	3.397962897
479	3.396875242
480	3.394080968
481	3.39214395
482	3.389790434
483	3.386185895
484	3.381001073
485	3.38043615
486	3.377006725
487	3.374726673
488	3.371874757
489	3.370747512
490	3.366821506
491	3.363907769
492	3.361428338
493	3.356878159
494	3.352842134
495	3.351742574
496	3.34689681
497	3.340638699
498	3.339647612
499	3.33609532
500	3.333716386
501	3.330440568
502	3.328777794
503	3.326378333
504	3.324748128
505	3.319550998
506	3.316186508
507	3.313161606
508	3.309654809
509	3.307434399
510	3.302143833
511	3.297385659
512	3.295093279
513	3.293415526
514	3.29160538
515	3.28926111
516	3.286071795
517	3.284636142
518	3.279582753
519	3.277341186
520	3.272707011
521	3.267327623
522	3.263444349
523	3.260393728
524	3.25669648
525	3.251831638
526	3.246452801
527	3.243957547
528	3.243582805
529	3.240662091
530	3.239270448
531	3.234994051
532	3.233570848
533	3.231758604
534	3.228972703
535	3.226883691
536	3.223606061
537	3.221970665
538	3.21833694
539	3.214130894
540	3.211465445
541	3.21023246
542	3.208804499
543	3.206079332
544	3.202132616
545	3.200347138
546	3.198355286
547	3.19459909
548	3.191960243
549	3.189191757
550	3.185885012
551	3.185301542
552	3.182365504
553	3.176214843
554	3.174622584
555	3.172919443
556	3.168959371
557	3.167663476
558	3.166382238
559	3.164837784
560	3.159290307
561	3.158625382
562	3.154475235
563	3.153450861
564	3.149407055
565	3.14790838
566	3.14498435
567	3.139715017
568	3.136721114
569	3.132737216
570	3.125823317
571	3.12346812
572	3.121356119
573	3.120443676
574	3.114599771
575	3.113926548
576	3.109178026
577	3.107021529
578	3.105759465
579	3.103130936
580	3.099529233
581	3.096014334
582	3.094481542
583	3.089775266
584	3.086980486
585	3.084230612
586	3.078724574
587	3.077643723
588	3.075044452
589	3.073276037
590	3.070894474
591	3.065428596
592	3.06229797
593	3.060578588
594	3.057261132
595	3.056848171
596	3.054015737
597	3.051722131
598	3.047618204
599	3.044041183
600	3.042852724
601	3.041675532
602	3.038747821
603	3.034787113
604	3.029451839
605	3.025381316
606	3.023229665
607	3.021525446
608	3.019147379
609	3.017045215
610	3.014899025
611	3.014030279
612	3.010084901
613	3.005579352
614	3.002517801
615	2.999545906
616	2.997828415
617	2.996109335
618	2.991765029
619	2.987287073
620	2.984381359
621	2.981921221
622	2.980736232
623	2.978130645
624	2.975282191
625	2.974001448
626	2.972923701
627	2.969704425
628	2.96810247
629	2.966369968
630	2.963424462
631	2.958727043
632	2.954958527
633	2.953931182
634	2.95243816
635	2.951461611
636	2.948240105
637	2.946774667
638	2.945837754
639	2.941968766
640	2.938370181
641	2.935702345
642	2.934670975
643	2.932916863
644	2.931326649
645	2.926231831
646	2.924783328
647	2.92033162
648	2.917429282
649	2.916607296
650	2.915013804
651	2.910642911
652	2.910057602
653	2.907980191
654	2.907253571
655	2.904951209
656	2.903206156
657	2.901244677
658	2.900324426
659	2.896006689
660	2.894502816
661	2.893823407
662	2.891470306
663	2.89028797
664	2.886363789
665	2.884366008
666	2.883162085
667	2.880961871
668	2.877340022
669	2.87508625
670	2.870866878
671	2.86509821
672	2.862360509
673	2.860426402
674	2.856916717
675	2.852561556
676	2.850019038
677	2.848708527
678	2.842584069
679	2.840409327
680	2.837479577
681	2.836262683
682	2.833843766
683	2.832623193
684	2.831253039
685	2.827539593
686	2.823597101
687	2.821430441
688	2.819984332
689	2.818540826
690	2.81775097
691	2.814273073
692	2.813130304
693	2.809899735
694	2.807554924
695	2.806132903
696	2.802125059
697	2.800912828
698	2.799723017
699	2.7956656
700	2.793666392
701	2.793339746
702	2.792458166
703	2.789737292
704	2.786625337
705	2.785286756
706	2.781541455
707	2.778888293
708	2.776735365
709	2.775311451
710	2.771789654
711	2.769931183
712	2.766289508
713	2.764656269
714	2.76209659
715	2.761041296
716	2.757182535
717	2.754771927
718	2.752348399
719	2.751399565
720	2.749950926
721	2.748413402
722	2.74370104
723	2.741590914
724	2.739701577
725	2.739064008
726	2.737591569
727	2.734534181
728	2.733373616
729	2.730499752
730	2.727402363
731	2.723461234
732	2.718112218
733	2.714943206
734	2.713346698
735	2.712020051
736	2.709240033
737	2.706950251
738	2.703731197
739	2.701669911
740	2.697416921
741	2.694607932
742	2.692327805
743	2.691463812
744	2.688797331
745	2.686920116
746	2.684518104
747	2.681889077
748	2.678506582
749	2.676722648
750	2.67551668
751	2.671946743
752	2.670368419
753	2.665870933
754	2.66311786
755	2.65849033
756	2.658150063
757	2.655365048
758	2.652177134
759	2.651011851
760	2.649013505
761	2.645040069
762	2.641234382
763	2.640700545
764	2.6401111
765	2.639304897
766	2.63846437
767	2.637634413
768	2.636605864
769	2.635033338
770	2.633051886
771	2.631270567
772	2.628292824
773	2.625729479
774	2.624003114
775	2.623142513
776	2.621136884
777	2.619346679
778	2.617382437
779	2.615576255
780	2.614402662
781	2.610277019
782	2.607638498
783	2.605113011
784	2.604619602
785	2.602550062
786	2.601028537
787	2.598846414
788	2.597007666
789	2.593130036
790	2.589421635
791	2.588502696
792	2.584962922
793	2.582911148
794	2.581406647
795	2.579981787
796	2.576496082
797	2.573503661
798	2.573030926
799	2.571493823
800	2.569494556
801	2.567574286
802	2.563834069
803	2.562763738
804	2.561069596
805	2.558998101
806	2.555519155
807	2.553642575
808	2.552958407
809	2.55174205
810	2.549403139
811	2.547914273
812	2.545913394
813	2.545210571
814	2.543943786
815	2.541697249
816	2.540410648
817	2.539039364
818	2.536837033
819	2.532692785
820	2.529164524
821	2.528222244
822	2.526321297
823	2.523357484
824	2.522714348
825	2.519821467
826	2.519329036
827	2.51661484
828	2.515889484
829	2.514512203
830	2.514024249
831	2.511541009
832	2.508406652
833	2.507113241
834	2.504168478
835	2.502766849
836	2.502379338
837	2.501678592
838	2.500881244
839	2.499163143
840	2.496884634
841	2.494968413
842	2.492821151
843	2.492487949
844	2.490410019
845	2.489286465
846	2.486734522
847	2.485935711
848	2.482259469
849	2.479270966
850	2.477262503
851	2.475327031
852	2.472831928
853	2.472056569
854	2.470718967
855	2.467157704
856	2.464885264
857	2.462091538
858	2.457576583
859	2.454933655
860	2.453615779
861	2.450664994
862	2.447696056
863	2.445307497
864	2.443744166
865	2.441051375
866	2.440634446
867	2.439440651
868	2.438239971
869	2.436587062
870	2.434788494
871	2.433984272
872	2.431711539
873	2.431231988
874	2.428192679
875	2.427564705
876	2.426383388
877	2.424232689
878	2.422072354
879	2.42019231
880	2.417307365
881	2.41372948
882	2.411544171
883	2.408880887
884	2.405007889
885	2.403401525
886	2.400815439
887	2.397860756
888	2.395035214
889	2.393261843
890	2.391926768
891	2.388780291
892	2.386759415
893	2.385626709
894	2.384290612
895	2.382638114
896	2.379263796
897	2.376977126
898	2.374041736
899	2.371795325
900	2.370548451
901	2.370035536
902	2.368809078
903	2.365925952
904	2.363366591
905	2.360202908
906	2.358301149
907	2.35807756
908	2.353578992
909	2.353435144
910	2.350652088
911	2.348716483
912	2.344626197
913	2.343359363
914	2.341280371
915	2.337507658
916	2.336365473
917	2.334890695
918	2.332775094
919	2.330676778
920	2.329725201
921	2.327229532
922	2.324750535
923	2.324095513
924	2.323602292
925	2.32134815
926	2.320721578
927	2.31949713
928	2.318552347
929	2.316949256
930	2.313818882
931	2.312876735
932	2.311135783
933	2.308375813
934	2.307424152
935	2.304185377
936	2.301189163
937	2.299908477
938	2.29946281
939	2.297217457
940	2.296041793
941	2.29480846
942	2.292490357
943	2.291253505
944	2.287878866
945	2.286089176
946	2.283888553
947	2.282380926
948	2.281462027
949	2.278249501
950	2.275704025
951	2.274328496
952	2.274138153
953	2.270181659
954	2.269142849
955	2.267818402
956	2.267029063
957	2.265250185
958	2.263451202
959	2.261498027
960	2.258888414
961	2.257158304
962	2.255801927
963	2.253295366
964	2.251693578
965	2.250127023
966	2.249908474
967	2.247531297
968	2.246508996
969	2.243262562
970	2.241272856
971	2.240939889
972	2.238659535
973	2.237472137
974	2.237078619
975	2.234671769
976	2.233079671
977	2.230748561
978	2.229453127
979	2.228027772
980	2.227871995
981	2.226911147
982	2.224683851
983	2.224358383
984	2.223637585
985	2.222627105
986	2.220845531
987	2.218534114
988	2.214906147
989	2.212350953
990	2.209906033
991	2.209047039
992	2.207752285
993	2.203102202
994	2.202945661
995	2.202824836
996	2.202104629
997	2.200657948
998	2.199757846
999	2.197836547
