iter	Passed	Remaining
0	57	57879
1	58	29188
2	59	19611
3	59	14821
4	60	11950
5	60	10034
6	61	8676
7	61	7645
8	62	6842
9	62	6200
10	63	5676
11	63	5244
12	64	4873
13	64	4554
14	65	4280
15	65	4040
16	66	3827
17	66	3637
18	67	3466
19	67	3317
20	68	3183
21	68	3059
22	69	2944
23	69	2839
24	70	2743
25	70	2656
26	71	2570
27	71	2495
28	72	2421
29	72	2352
30	73	2287
31	73	2224
32	73	2165
33	74	2110
34	74	2058
35	75	2009
36	75	1963
37	75	1919
38	76	1878
39	77	1857
40	77	1821
41	78	1784
42	78	1750
43	79	1716
44	79	1686
45	79	1652
46	80	1623
47	80	1595
48	80	1569
49	81	1543
50	81	1518
51	81	1494
52	82	1470
53	82	1448
54	83	1426
55	83	1406
56	83	1388
57	84	1368
58	84	1351
59	85	1333
60	85	1314
61	85	1297
62	86	1281
63	86	1265
64	86	1250
65	87	1235
66	87	1220
67	88	1206
68	88	1192
69	88	1179
70	89	1167
71	89	1155
72	90	1143
73	90	1132
74	90	1119
75	91	1108
76	91	1097
77	91	1086
78	92	1076
79	92	1066
80	93	1056
81	93	1046
82	93	1038
83	94	1029
84	94	1020
85	95	1011
86	96	1009
87	97	1009
88	97	1000
89	98	999
90	99	992
91	99	984
92	100	976
93	100	968
94	100	961
95	101	954
96	101	948
97	102	941
98	102	934
99	103	927
100	103	920
101	103	914
102	104	908
103	104	902
104	105	895
105	105	889
106	105	883
107	106	883
108	107	877
109	108	877
110	108	871
111	109	866
112	109	861
113	110	855
114	110	849
115	110	844
116	111	839
117	111	834
118	111	828
119	112	823
120	112	819
121	113	814
122	113	809
123	113	804
124	114	800
125	114	795
126	115	791
127	115	787
128	115	783
129	116	779
130	116	774
131	117	770
132	117	766
133	117	761
134	118	757
135	118	753
136	119	750
137	119	746
138	120	746
139	120	742
140	121	739
141	121	735
142	122	731
143	122	727
144	122	724
145	123	720
146	123	717
147	123	713
148	124	710
149	124	706
150	125	703
151	125	699
152	125	696
153	126	693
154	126	690
155	127	690
156	128	687
157	128	685
158	129	682
159	129	679
160	129	676
161	130	673
162	130	670
163	131	668
164	131	665
165	131	662
166	132	659
167	132	656
168	132	653
169	133	651
170	133	648
171	134	645
172	134	642
173	134	639
174	135	637
175	135	634
176	135	632
177	136	629
178	136	627
179	137	624
180	137	622
181	137	619
182	138	617
183	138	614
184	139	612
185	139	610
186	139	607
187	140	605
188	140	603
189	140	600
190	141	598
191	141	596
192	142	594
193	142	591
194	142	589
195	143	587
196	143	585
197	143	583
198	144	580
199	144	578
200	145	576
201	145	574
202	145	572
203	146	570
204	146	568
205	146	566
206	147	564
207	147	562
208	148	560
209	148	558
210	148	556
211	149	555
212	149	553
213	150	551
214	150	549
215	151	550
216	152	548
217	152	547
218	153	546
219	153	544
220	154	543
221	154	541
222	154	539
223	155	538
224	155	536
225	156	534
226	156	533
227	156	531
228	157	530
229	157	528
230	158	526
231	158	525
232	159	523
233	159	521
234	159	520
235	160	518
236	160	516
237	161	515
238	161	514
239	161	512
240	162	511
241	162	509
242	163	508
243	163	506
244	163	505
245	164	503
246	164	502
247	165	500
248	165	499
249	165	497
250	166	496
251	166	494
252	167	493
253	167	491
254	167	490
255	168	488
256	168	487
257	168	485
258	169	484
259	169	482
260	170	481
261	170	480
262	170	478
263	171	477
264	171	475
265	171	474
266	172	473
267	172	471
268	173	470
269	173	468
270	173	467
271	174	466
272	174	464
273	175	463
274	175	462
275	176	462
276	176	461
277	177	459
278	177	458
279	177	457
280	178	456
281	178	454
282	178	453
283	179	452
284	179	450
285	180	449
286	180	448
287	180	447
288	181	445
289	181	444
